Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %,Payout reference ID
Men Oh Tokushima Ramen,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad Spend,-8.86,0,0,-8.86,,0,0,,
Men Oh Tokushima Ramen,,#13463,1e44a0a8-0063-4002-aa78-439d7d313463,Delivery - Partner Using Uber App,UberEats iOS,Completed,8/11/22,11:57 AM,28,2.66,30.66,0,0,0,0,0,0,0,0,30.66,-6.72,0,0,0,0,0,,0,-2.66,0,21.28,,0,0,24,
Men Oh Tokushima Ramen,,#F3649,c92f5cd0-ef0e-438c-abbc-560ae62f3649,Delivery - Partner Using Uber App,Postmates iOS,Completed,8/11/22,12:56 PM,40.5,3.85,44.35,0,0,0,0,0,0,0,0,44.35,-13.37,0,0,0,0,0,,0,-3.85,0,27.13,,0,0,33,
Men Oh Tokushima Ramen,,#42422,45c17650-d813-4d95-ac6e-7469ebf42422,Delivery - Partner Using Uber App,UberEats iOS,Completed,8/11/22,1:22 PM,35.5,3.04,38.54,0,0,0,0,0,0,0,0,38.54,-8.52,0,0,0,0,0,,0,-3.04,0,26.98,,0,0,24,
Men Oh Tokushima Ramen,,#B3523,8f45afbb-2617-4959-a789-43a8061b3523,Delivery - Partner Using Uber App,UberEats Web,Completed,8/11/22,6:01 PM,39,3.71,42.71,0,0,0,0,0,0,0,0,42.71,-9.36,0,0,0,0,0,,0,-3.71,0,29.64,,0,0,24,
Men Oh Tokushima Ramen,,#3B88A,59d7a873-d4ff-4529-b483-a9bbe5a3b88a,Delivery - Partner Using Uber App,UberEats iOS,Completed,8/11/22,6:20 PM,36,3.42,39.42,0,0,0,0,0,0,0,0,39.42,-8.64,0,0,0,0,0,,0,-3.42,0,27.36,,0,0,24,
Men Oh Tokushima Ramen,,#29F7A,4b7ee72b-2875-44cf-aff9-71097df29f7a,Delivery - Partner Using Uber App,UberEats iOS,Completed,8/11/22,6:35 PM,16.5,1.57,18.07,0,0,0,0,0,0,0,0,18.07,-3.96,0,0,0,0,0,,0,-1.57,0,12.54,,0,0,24,
Men Oh Tokushima Ramen,,#56CC2,c76b565a-c80a-44fd-ad7a-16fb1ef56cc2,Delivery - Partner Using Uber App,UberEats iOS,Completed,8/11/22,6:48 PM,56,5.32,61.32,0,0,0,0,0,0,0,0,61.32,-13.44,0,0,0,0,0,,0,-5.32,0,42.56,,0,0,24,
Men Oh Tokushima Ramen,,#0338E,066ab7fc-13a0-4219-8033-e1557610338e,Delivery - Partner Using Uber App,UberEats Web,Completed,8/11/22,7:08 PM,36,3.42,39.42,0,0,0,0,0,0,0,0,39.42,-8.64,0,0,0,0,0,,0,-3.42,0,27.36,,0,0,24,
Men Oh Tokushima Ramen,,#5FEE1,61417d8f-c78b-486f-a2d6-771553f5fee1,Delivery - Partner Using Uber App,UberEats iOS,Completed,8/11/22,7:54 PM,40,3.47,43.47,0,0,0,0,0,0,0,0,43.47,-9.6,0,0,0,0,0,,0,-3.47,0,30.4,,0,0,24,
Men Oh Tokushima Ramen,,#52084,acc85ad6-de4d-4e32-beef-a8a66a352084,Delivery - Partner Using Uber App,Postmates iOS,Completed,8/11/22,8:35 PM,35,3.33,38.33,0,0,0,0,0,0,0,0,38.33,-11.55,0,0,0,0,0,,0,-3.33,0,23.45,,0,0,33,
Men Oh Tokushima Ramen,,#90CDA,b28eb501-f912-4b85-8915-f92491990cda,Delivery - Partner Using Uber App,UberEats iOS,Completed,8/11/22,8:43 PM,16.5,1.57,18.07,0,0,0,0,0,0,0,0,18.07,-3.96,0,0,0,0,0,,0,-1.57,0,12.54,,0,0,24,
Men Oh Tokushima Ramen,,#EA251,f76e6951-9275-41eb-926b-e32b113ea251,Delivery - Partner Using Uber App,Postmates iOS,Completed,8/11/22,9:06 PM,71,6.75,77.75,0,0,0,0,0,0,0,0,77.75,-23.43,0,0,0,0,0,,0,-6.75,0,47.57,,0,0,33,
